Sample	seq_name	length	PI	MW	Hydro
CP001157.1_5264855_5268361_-	CP001157.1_5264855_5268361_-	1168.0	5.4	131393.47	-381.6
CP001157.1_3142365_3145853_-	CP001157.1_3142365_3145853_-	1162.0	5.19	131554.73	-741.0
CP001157.1_3596920_3600405_+	CP001157.1_3596920_3600405_+	1161.0	8.7	128559.74	225.5
CP001157.1_1461734_1465198_-	CP001157.1_1461734_1465198_-	1154.0	4.9	128929.06	-862.4
CP001157.1_1435934_1439383_-	CP001157.1_1435934_1439383_-	1149.0	5.87	128593.83	-183.6
CP001157.1_410038_413444_+	CP001157.1_410038_413444_+	1135.0	5.94	126676.53	-165.4
CP001157.1_406566_409922_+	CP001157.1_406566_409922_+	1118.0	5.8	126846.03	-407.8
CP001157.1_4569450_4572803_+	CP001157.1_4569450_4572803_+	1117.0	5.89	123558.02	47.1
CP001157.1_1861652_1864977_-	CP001157.1_1861652_1864977_-	1108.0	5.61	120822.91	-350.0
CP001157.1_2883302_2886628_-	CP001157.1_2883302_2886628_-	1108.0	5.47	124915.81	-342.8
CP001157.1_2690546_2693860_+	CP001157.1_2690546_2693860_+	1104.0	5.52	122413.41	-162.4
CP001157.1_810958_814182_+	CP001157.1_810958_814182_+	1074.0	7.69	115314.9	250.8
CP001157.1_4330755_4333976_-	CP001157.1_4330755_4333976_-	1073.0	5.23	117277.55	-114.7
CP001157.1_3786701_3789919_-	CP001157.1_3786701_3789919_-	1072.0	9.84	112107.03	44.6
CP001157.1_1357215_1360379_+	CP001157.1_1357215_1360379_+	1054.0	6.38	115493.69	-26.9
CP001157.1_4457629_4460793_+	CP001157.1_4457629_4460793_+	1054.0	5.44	113562.61	335.1
CP001157.1_184046_187186_+	CP001157.1_184046_187186_+	1046.0	5.13	112909.11	299.1
CP001157.1_5241928_5245068_+	CP001157.1_5241928_5245068_+	1046.0	5.84	113176.28	323.9
CP001157.1_5046214_5049351_-	CP001157.1_5046214_5049351_-	1045.0	6.07	118438.46	-606.0
CP001157.1_1399038_1402165_+	CP001157.1_1399038_1402165_+	1042.0	5.73	111524.89	95.1
CP001157.1_3462966_3466094_+	CP001157.1_3462966_3466094_+	1042.0	5.58	112770.36	316.5
CP001157.1_1836621_1839740_+	CP001157.1_1836621_1839740_+	1039.0	6.13	111748.54	379.8
CP001157.1_1410918_1414031_+	CP001157.1_1410918_1414031_+	1037.0	5.19	111507.33	413.5
CP001157.1_1137512_1140622_+	CP001157.1_1137512_1140622_+	1036.0	4.83	110457.05	-237.6
CP001157.1_2965723_2968830_-	CP001157.1_2965723_2968830_-	1035.0	6.05	112457.14	317.7
CP001157.1_5129310_5132402_+	CP001157.1_5129310_5132402_+	1030.0	5.96	111369.41	-138.5
CP001157.1_1360420_1363509_-	CP001157.1_1360420_1363509_-	1029.0	9.34	115293.22	-287.2
CP001157.1_361140_364196_+	CP001157.1_361140_364196_+	1018.0	6.68	112727.65	-338.8
CP001157.1_2968919_2971963_-	CP001157.1_2968919_2971963_-	1014.0	5.28	108775.62	466.1
CP001157.1_1414091_1417129_+	CP001157.1_1414091_1417129_+	1012.0	6.63	109136.87	333.7
CP001157.1_914630_917650_+	CP001157.1_914630_917650_+	1006.0	6.94	112798.65	-113.2
CP001157.1_4905791_4908798_+	CP001157.1_4905791_4908798_+	1002.0	6.81	110247.24	-92.4
CP001157.1_5191069_5194065_-	CP001157.1_5191069_5194065_-	998.0	3.97	103182.72	-276.7
CP001157.1_3445248_3448244_-	CP001157.1_3445248_3448244_-	998.0	3.91	103709.37	-268.3
CP001157.1_5319082_5322060_-	CP001157.1_5319082_5322060_-	992.0	5.78	111824.33	-311.6
CP001157.1_5030828_5033785_-	CP001157.1_5030828_5033785_-	985.0	8.51	112012.3	-318.5
CP001157.1_620747_623695_-	CP001157.1_620747_623695_-	982.0	7.4	108484.92	-273.6
CP001157.1_4311906_4314851_+	CP001157.1_4311906_4314851_+	981.0	6.08	108186.33	-320.8
CP001157.1_4298743_4301688_+	CP001157.1_4298743_4301688_+	981.0	6.06	108060.43	247.0
CP001157.1_4544443_4547385_-	CP001157.1_4544443_4547385_-	980.0	6.19	109570.31	-227.8
CP001157.1_2906459_2909380_-	CP001157.1_2906459_2909380_-	973.0	5.51	105572.6	-80.2
CP001157.1_5355147_5358047_-	CP001157.1_5355147_5358047_-	966.0	5.4	109886.16	-443.1
CP001157.1_3691739_3694624_+	CP001157.1_3691739_3694624_+	961.0	5.28	107946.98	-306.2
CP001157.1_4797407_4800280_-	CP001157.1_4797407_4800280_-	957.0	5.68	104320.84	-126.7
CP001157.1_5292043_5294907_-	CP001157.1_5292043_5294907_-	954.0	6.61	109676.51	-450.3
CP001157.1_2657268_2660132_+	CP001157.1_2657268_2660132_+	954.0	6.08	102771.15	-49.7
CP001157.1_2117050_2119904_-	CP001157.1_2117050_2119904_-	951.0	5.59	102071.08	-44.9
CP001157.1_3135773_3138622_+	CP001157.1_3135773_3138622_+	949.0	5.11	106347.41	-244.9
CP001157.1_3494663_3497503_-	CP001157.1_3494663_3497503_-	946.0	4.48	99337.62	-285.7
CP001157.1_1115343_1118177_-	CP001157.1_1115343_1118177_-	944.0	5.5	107206.99	-342.1
CP001157.1_3078251_3081067_-	CP001157.1_3078251_3081067_-	938.0	6.1	105313.27	-374.4
CP001157.1_650050_652851_-	CP001157.1_650050_652851_-	933.0	5.78	102990.67	33.8
CP001157.1_304040_306838_+	CP001157.1_304040_306838_+	932.0	5.41	103894.24	-192.9
CP001157.1_1945526_1948321_+	CP001157.1_1945526_1948321_+	931.0	6.68	98619.3	854.8
CP001157.1_876759_879550_-	CP001157.1_876759_879550_-	930.0	6.63	102430.67	-76.5
CP001157.1_1129221_1132004_+	CP001157.1_1129221_1132004_+	927.0	5.94	103770.07	-225.1
CP001157.1_2849220_2851984_+	CP001157.1_2849220_2851984_+	921.0	6.01	103631.88	-310.1
CP001157.1_4748380_4751139_+	CP001157.1_4748380_4751139_+	919.0	5.07	105113.48	-625.8
CP001157.1_3767075_3769828_+	CP001157.1_3767075_3769828_+	917.0	5.55	100885.04	-139.2
CP001157.1_2485627_2488380_-	CP001157.1_2485627_2488380_-	917.0	7.4	102274.53	-249.8
CP001157.1_372746_375490_-	CP001157.1_372746_375490_-	914.0	5.56	101057.89	-338.5
CP001157.1_3572566_3575310_+	CP001157.1_3572566_3575310_+	914.0	6.13	101599.63	58.7
CP001157.1_4552672_4555410_+	CP001157.1_4552672_4555410_+	912.0	5.69	97795.72	250.2
CP001157.1_5315143_5317875_-	CP001157.1_5315143_5317875_-	910.0	5.26	101191.07	-261.1
CP001157.1_1552962_1555694_+	CP001157.1_1552962_1555694_+	910.0	5.05	100074.17	-223.6
CP001157.1_2773450_2776176_-	CP001157.1_2773450_2776176_-	908.0	8.74	99868.66	-214.2
CP001157.1_1297614_1300340_+	CP001157.1_1297614_1300340_+	908.0	5.58	102841.48	-422.6
CP001157.1_65145_67871_-	CP001157.1_65145_67871_-	908.0	5.56	98880.24	-84.7
CP001157.1_3774511_3777234_-	CP001157.1_3774511_3777234_-	907.0	7.73	104839.22	-522.1
CP001157.1_5152429_5155144_+	CP001157.1_5152429_5155144_+	905.0	8.49	100067.79	-191.3
CP001157.1_2290021_2292735_-	CP001157.1_2290021_2292735_-	904.0	6.19	97978.24	85.8
CP001157.1_2935598_2938309_+	CP001157.1_2935598_2938309_+	903.0	5.84	98849.64	-227.4
CP001157.1_4998563_5001268_+	CP001157.1_4998563_5001268_+	901.0	4.1	93359.88	-255.4
CP001157.1_1699773_1702478_+	CP001157.1_1699773_1702478_+	901.0	5.87	98862.71	-155.9
CP001157.1_2330796_2333501_-	CP001157.1_2330796_2333501_-	901.0	6.55	97671.41	-160.6
CP001157.1_4048968_4051670_-	CP001157.1_4048968_4051670_-	900.0	6.35	99616.99	-65.1
CP001157.1_3947389_3950088_+	CP001157.1_3947389_3950088_+	899.0	5.63	102579.89	-226.7
CP001157.1_1991087_1993774_-	CP001157.1_1991087_1993774_-	895.0	5.32	97314.37	-119.1
CP001157.1_4350597_4353281_+	CP001157.1_4350597_4353281_+	894.0	7.03	97733.23	-111.5
CP001157.1_4547601_4550270_+	CP001157.1_4547601_4550270_+	889.0	5.69	100662.99	-406.6
CP001157.1_5346025_5348691_-	CP001157.1_5346025_5348691_-	888.0	5.45	99466.16	-249.6
CP001157.1_847763_850420_-	CP001157.1_847763_850420_-	885.0	5.5	98749.24	-266.8
CP001157.1_1854671_1857328_+	CP001157.1_1854671_1857328_+	885.0	5.18	99289.5	-231.1
CP001157.1_1663231_1665873_-	CP001157.1_1663231_1665873_-	880.0	5.49	95757.8	110.7
CP001157.1_4995709_4998351_+	CP001157.1_4995709_4998351_+	880.0	4.15	90460.16	-214.3
CP001157.1_2724500_2727136_-	CP001157.1_2724500_2727136_-	878.0	5.73	96307.13	-122.9
CP001157.1_3979606_3982242_-	CP001157.1_3979606_3982242_-	878.0	5.96	97413.62	-132.1
CP001157.1_1869812_1872442_-	CP001157.1_1869812_1872442_-	876.0	8.78	94970.8	416.2
CP001157.1_3602527_3605154_+	CP001157.1_3602527_3605154_+	875.0	10.41	96680.86	-326.7
CP001157.1_3519549_3522173_-	CP001157.1_3519549_3522173_-	874.0	5.68	94436.91	-172.5
CP001157.1_5200752_5203376_-	CP001157.1_5200752_5203376_-	874.0	4.21	90237.82	-235.3
CP001157.1_2448146_2450770_+	CP001157.1_2448146_2450770_+	874.0	6.61	94317.23	-15.0
CP001157.1_2719249_2721867_-	CP001157.1_2719249_2721867_-	872.0	4.89	96026.27	-380.6
CP001157.1_1029227_1031845_-	CP001157.1_1029227_1031845_-	872.0	7.42	98856.79	-284.2
CP001157.1_2348202_2350811_-	CP001157.1_2348202_2350811_-	869.0	5.5	93314.24	-57.8
CP001157.1_1427388_1429994_+	CP001157.1_1427388_1429994_+	868.0	7.22	97754.19	-521.6
CP001157.1_2318198_2320801_+	CP001157.1_2318198_2320801_+	867.0	5.32	94720.98	-138.5
CP001157.1_2710881_2713475_+	CP001157.1_2710881_2713475_+	864.0	6.16	96016.37	-332.8
CP001157.1_2063426_2066020_-	CP001157.1_2063426_2066020_-	864.0	5.4	92037.76	372.9
CP001157.1_3965294_3967885_+	CP001157.1_3965294_3967885_+	863.0	6.5	97374.67	90.4
CP001157.1_720260_722845_+	CP001157.1_720260_722845_+	861.0	7.45	96874.29	-428.0
CP001157.1_4255316_4257892_-	CP001157.1_4255316_4257892_-	858.0	4.05	87493.56	-139.7
CP001157.1_5208142_5210712_-	CP001157.1_5208142_5210712_-	856.0	4.13	90364.14	-352.9
CP001157.1_1147811_1150375_+	CP001157.1_1147811_1150375_+	854.0	5.36	94923.51	-300.6
CP001157.1_4616360_4618912_-	CP001157.1_4616360_4618912_-	850.0	9.44	94216.38	64.1
CP001157.1_3907193_3909733_+	CP001157.1_3907193_3909733_+	846.0	5.75	94110.74	-172.3
CP001157.1_677340_679872_-	CP001157.1_677340_679872_-	844.0	6.55	92147.47	-73.0
CP001157.1_4193848_4196379_-	CP001157.1_4193848_4196379_-	843.0	7.95	91852.74	-112.0
CP001157.1_808417_810947_+	CP001157.1_808417_810947_+	843.0	5.51	90563.33	-136.9
CP001157.1_467607_470135_+	CP001157.1_467607_470135_+	842.0	4.52	93192.78	-448.3
CP001157.1_5155147_5157675_+	CP001157.1_5155147_5157675_+	842.0	5.33	91959.87	-146.7
CP001157.1_1929294_1931813_-	CP001157.1_1929294_1931813_-	839.0	6.4	92578.21	-222.4
CP001157.1_948245_950761_+	CP001157.1_948245_950761_+	838.0	6.81	91449.3	-121.9
CP001157.1_4319313_4321823_-	CP001157.1_4319313_4321823_-	836.0	6.01	90863.29	-318.2
CP001157.1_2300989_2303490_-	CP001157.1_2300989_2303490_-	833.0	9.52	89345.56	317.9
CP001157.1_2162372_2164873_+	CP001157.1_2162372_2164873_+	833.0	5.03	91289.33	-343.5
CP001157.1_3894335_3896830_-	CP001157.1_3894335_3896830_-	831.0	6.15	91042.87	-152.0
CP001157.1_4353318_4355810_-	CP001157.1_4353318_4355810_-	830.0	6.5	93416.42	-268.3
CP001157.1_2097217_2099706_-	CP001157.1_2097217_2099706_-	829.0	7.42	86654.88	329.1
CP001157.1_1774362_1776848_+	CP001157.1_1774362_1776848_+	828.0	5.92	93451.14	-197.2
CP001157.1_2543461_2545938_+	CP001157.1_2543461_2545938_+	825.0	5.92	92749.39	-82.1
CP001157.1_4632208_4634679_-	CP001157.1_4632208_4634679_-	823.0	6.02	92507.37	-147.3
CP001157.1_2767609_2770074_+	CP001157.1_2767609_2770074_+	821.0	4.91	89496.97	-327.0
CP001157.1_4596585_4599044_+	CP001157.1_4596585_4599044_+	819.0	5.65	90100.16	-235.0
CP001157.1_1065769_1068228_+	CP001157.1_1065769_1068228_+	819.0	9.0	89947.54	567.3
CP001157.1_2951210_2953666_-	CP001157.1_2951210_2953666_-	818.0	5.66	91227.98	124.3
CP001157.1_3640230_3642680_-	CP001157.1_3640230_3642680_-	816.0	5.36	89308.45	-92.6
CP001157.1_2334014_2336464_-	CP001157.1_2334014_2336464_-	816.0	5.91	89319.93	-182.2
CP001157.1_1521105_1523552_-	CP001157.1_1521105_1523552_-	815.0	7.16	88267.14	63.3
CP001157.1_4464655_4467093_-	CP001157.1_4464655_4467093_-	812.0	6.24	90413.33	-467.0
CP001157.1_990007_992439_-	CP001157.1_990007_992439_-	810.0	5.65	88708.22	-355.6
CP001157.1_4126723_4129149_-	CP001157.1_4126723_4129149_-	808.0	5.4	90227.88	-460.2
CP001157.1_4120027_4122447_-	CP001157.1_4120027_4122447_-	806.0	4.88	88635.54	-139.9
CP001157.1_2152601_2155021_-	CP001157.1_2152601_2155021_-	806.0	5.88	90335.95	-464.1
CP001157.1_3791_6211_+	CP001157.1_3791_6211_+	806.0	5.73	89963.83	-316.7
CP001157.1_1755189_1757609_-	CP001157.1_1755189_1757609_-	806.0	5.22	89783.13	-481.4
CP001157.1_769449_771860_+	CP001157.1_769449_771860_+	803.0	5.89	87393.72	-345.8
CP001157.1_4057368_4059773_-	CP001157.1_4057368_4059773_-	801.0	5.58	86220.03	-53.0
CP001157.1_1939192_1941597_+	CP001157.1_1939192_1941597_+	801.0	5.75	88947.5	-310.3
CP001157.1_1352518_1354920_-	CP001157.1_1352518_1354920_-	800.0	6.71	88924.42	-215.3
CP001157.1_1981173_1983575_-	CP001157.1_1981173_1983575_-	800.0	5.84	86229.41	135.0
CP001157.1_4072850_4075249_-	CP001157.1_4072850_4075249_-	799.0	5.22	89002.39	-426.1
CP001157.1_2258618_2261017_-	CP001157.1_2258618_2261017_-	799.0	5.55	89282.03	-429.5
CP001157.1_4620924_4623320_-	CP001157.1_4620924_4623320_-	798.0	9.75	89914.55	33.9
CP001157.1_4558686_4561082_-	CP001157.1_4558686_4561082_-	798.0	6.07	89517.17	-491.6
CP001157.1_764474_766866_-	CP001157.1_764474_766866_-	797.0	10.53	87330.94	308.9
CP001157.1_4151781_4154171_-	CP001157.1_4151781_4154171_-	796.0	5.69	88308.9	203.6
CP001157.1_2362169_2364556_+	CP001157.1_2362169_2364556_+	795.0	5.78	88585.4	-205.6
CP001157.1_3936203_3938581_-	CP001157.1_3936203_3938581_-	792.0	4.74	87808.84	-261.4
CP001157.1_2038621_2040999_+	CP001157.1_2038621_2040999_+	792.0	5.31	86662.37	-35.4
CP001157.1_3019901_3022279_+	CP001157.1_3019901_3022279_+	792.0	6.08	85503.16	-34.4
CP001157.1_4920929_4923304_-	CP001157.1_4920929_4923304_-	791.0	5.83	86122.87	141.8
CP001157.1_214173_216542_-	CP001157.1_214173_216542_-	789.0	5.64	88130.98	-417.3
CP001157.1_513859_516224_-	CP001157.1_513859_516224_-	788.0	9.97	84908.97	336.9
CP001157.1_775197_777560_+	CP001157.1_775197_777560_+	787.0	5.32	86115.02	-350.7
CP001157.1_3138801_3141155_-	CP001157.1_3138801_3141155_-	784.0	5.66	85405.51	-92.8
CP001157.1_4790310_4792664_+	CP001157.1_4790310_4792664_+	784.0	5.37	85619.82	-367.1
CP001157.1_1209769_1212120_+	CP001157.1_1209769_1212120_+	783.0	7.1	86241.53	-80.4
CP001157.1_113721_116066_+	CP001157.1_113721_116066_+	781.0	5.19	85902.89	-356.8
CP001157.1_4287577_4289919_-	CP001157.1_4287577_4289919_-	780.0	8.4	85696.82	-164.5
CP001157.1_748542_750884_-	CP001157.1_748542_750884_-	780.0	6.62	87822.94	-132.2
CP001157.1_4492953_4495292_-	CP001157.1_4492953_4495292_-	779.0	8.2	86398.58	-222.4
CP001157.1_1516709_1519027_-	CP001157.1_1516709_1519027_-	772.0	5.84	84128.92	8.1
CP001157.1_4451010_4453328_+	CP001157.1_4451010_4453328_+	772.0	6.16	87079.01	-270.0
CP001157.1_2086157_2088475_+	CP001157.1_2086157_2088475_+	772.0	5.47	85952.8	-266.0
CP001157.1_477089_479401_-	CP001157.1_477089_479401_-	770.0	6.07	83828.67	-195.9
CP001157.1_1423301_1425610_+	CP001157.1_1423301_1425610_+	769.0	6.65	83799.57	-68.7
CP001157.1_5114206_5116512_-	CP001157.1_5114206_5116512_-	768.0	7.67	81849.18	-24.1
CP001157.1_4272034_4274340_-	CP001157.1_4272034_4274340_-	768.0	8.74	83166.23	-77.6
CP001157.1_3115656_3117953_+	CP001157.1_3115656_3117953_+	765.0	9.27	84566.09	-56.0
CP001157.1_1364670_1366961_+	CP001157.1_1364670_1366961_+	763.0	5.86	85948.37	-161.3
CP001157.1_2323398_2325686_+	CP001157.1_2323398_2325686_+	762.0	5.28	82756.39	-66.0
CP001157.1_289985_292266_-	CP001157.1_289985_292266_-	760.0	6.03	81442.22	33.0
CP001157.1_4887424_4889703_-	CP001157.1_4887424_4889703_-	759.0	5.5	83650.39	-38.2
CP001157.1_2868679_2870955_-	CP001157.1_2868679_2870955_-	758.0	6.93	81628.76	-52.0
CP001157.1_1084641_1086917_-	CP001157.1_1084641_1086917_-	758.0	5.51	83599.36	-215.6
CP001157.1_3754702_3756975_-	CP001157.1_3754702_3756975_-	757.0	5.0	82495.89	-388.4
CP001157.1_728598_730871_-	CP001157.1_728598_730871_-	757.0	8.9	85302.35	-420.4
CP001157.1_2191356_2193626_+	CP001157.1_2191356_2193626_+	756.0	6.44	83857.41	-294.9
CP001157.1_2961854_2964124_-	CP001157.1_2961854_2964124_-	756.0	7.31	85699.61	-201.5
CP001157.1_2912696_2914966_-	CP001157.1_2912696_2914966_-	756.0	5.73	83689.27	-184.4
CP001157.1_2539091_2541358_+	CP001157.1_2539091_2541358_+	755.0	5.69	83253.94	-216.3
CP001157.1_3880966_3883232_+	CP001157.1_3880966_3883232_+	755.0	7.45	84403.69	-76.3
CP001157.1_1207299_1209560_+	CP001157.1_1207299_1209560_+	753.0	5.18	82548.87	-407.1
CP001157.1_4389147_4391405_-	CP001157.1_4389147_4391405_-	752.0	6.31	82889.98	-189.0
CP001157.1_5296502_5298757_+	CP001157.1_5296502_5298757_+	751.0	6.0	83291.28	-371.2
CP001157.1_3541105_3543357_+	CP001157.1_3541105_3543357_+	750.0	5.65	83811.67	-77.4
CP001157.1_3762098_3764347_-	CP001157.1_3762098_3764347_-	749.0	7.25	84017.38	-206.7
CP001157.1_3106257_3108505_+	CP001157.1_3106257_3108505_+	749.0	10.04	81945.44	42.6
CP001157.1_2638115_2640361_-	CP001157.1_2638115_2640361_-	748.0	6.47	80866.08	-113.6
CP001157.1_429787_432033_-	CP001157.1_429787_432033_-	748.0	5.78	80971.28	-228.4
CP001157.1_2663463_2665703_+	CP001157.1_2663463_2665703_+	746.0	6.27	80059.7	-129.3
CP001157.1_3054945_3057185_-	CP001157.1_3054945_3057185_-	746.0	6.12	81627.4	20.0
CP001157.1_3757265_3759505_-	CP001157.1_3757265_3759505_-	746.0	5.0	81311.75	-392.6
CP001157.1_4039231_4041468_-	CP001157.1_4039231_4041468_-	745.0	5.83	82622.71	-372.7
CP001157.1_3628939_3631176_+	CP001157.1_3628939_3631176_+	745.0	8.92	79722.22	-73.7
CP001157.1_2226674_2228908_-	CP001157.1_2226674_2228908_-	744.0	6.21	81076.03	-140.0
CP001157.1_1197341_1199572_+	CP001157.1_1197341_1199572_+	743.0	5.11	82008.2	-444.0
CP001157.1_2267797_2270025_+	CP001157.1_2267797_2270025_+	742.0	5.41	78710.41	362.7
CP001157.1_2916435_2918660_+	CP001157.1_2916435_2918660_+	741.0	6.24	80407.79	-175.2
CP001157.1_4818036_4820258_-	CP001157.1_4818036_4820258_-	740.0	6.72	82933.3	-146.2
CP001157.1_4722447_4724666_+	CP001157.1_4722447_4724666_+	739.0	5.72	80935.82	-230.4
CP001157.1_4602756_4604975_+	CP001157.1_4602756_4604975_+	739.0	9.43	81963.64	-155.3
CP001157.1_1881404_1883620_+	CP001157.1_1881404_1883620_+	738.0	8.61	82931.77	-260.4
CP001157.1_1454808_1457018_+	CP001157.1_1454808_1457018_+	736.0	9.78	79919.77	284.0
CP001157.1_986135_988345_+	CP001157.1_986135_988345_+	736.0	6.35	82032.77	-131.1
CP001157.1_547595_549799_-	CP001157.1_547595_549799_-	734.0	7.6	81929.87	101.4
CP001157.1_2889430_2891634_-	CP001157.1_2889430_2891634_-	734.0	4.55	82461.3	-109.7
CP001157.1_3092437_3094641_+	CP001157.1_3092437_3094641_+	734.0	7.23	80213.17	-94.7
CP001157.1_5224421_5226622_-	CP001157.1_5224421_5226622_-	733.0	5.7	80541.02	-169.2
CP001157.1_565970_568168_+	CP001157.1_565970_568168_+	732.0	5.36	80511.13	-308.9
CP001157.1_2699072_2701270_+	CP001157.1_2699072_2701270_+	732.0	4.99	80675.35	-320.5
CP001157.1_1559224_1561413_+	CP001157.1_1559224_1561413_+	729.0	6.02	77587.06	56.7
CP001157.1_1092056_1094245_-	CP001157.1_1092056_1094245_-	729.0	6.62	78787.62	-139.2
CP001157.1_1830880_1833066_+	CP001157.1_1830880_1833066_+	728.0	5.42	76896.61	199.2
CP001157.1_4063178_4065358_-	CP001157.1_4063178_4065358_-	726.0	5.89	79780.62	-349.4
CP001157.1_51366_53546_-	CP001157.1_51366_53546_-	726.0	6.13	80823.95	-171.4
CP001157.1_379410_381587_-	CP001157.1_379410_381587_-	725.0	7.48	79730.47	197.4
CP001157.1_4369897_4372074_-	CP001157.1_4369897_4372074_-	725.0	5.97	79093.82	-161.5
CP001157.1_131734_133908_-	CP001157.1_131734_133908_-	724.0	9.55	78816.9	120.9
CP001157.1_572615_574789_-	CP001157.1_572615_574789_-	724.0	5.97	78544.47	-143.4
CP001157.1_3675814_3677985_-	CP001157.1_3675814_3677985_-	723.0	8.2	81252.68	-307.5
CP001157.1_2482987_2485149_-	CP001157.1_2482987_2485149_-	720.0	6.17	82094.45	-351.4
CP001157.1_53662_55821_+	CP001157.1_53662_55821_+	719.0	7.34	79039.16	38.2
CP001157.1_2643063_2645216_-	CP001157.1_2643063_2645216_-	717.0	8.89	79264.7	-66.1
CP001157.1_2083964_2086117_+	CP001157.1_2083964_2086117_+	717.0	5.4	78335.59	-135.9
CP001157.1_1710358_1712511_-	CP001157.1_1710358_1712511_-	717.0	6.93	80438.51	-208.2
CP001157.1_3272190_3274340_-	CP001157.1_3272190_3274340_-	716.0	6.48	79824.28	-143.1
CP001157.1_4442595_4444742_+	CP001157.1_4442595_4444742_+	715.0	6.69	78935.76	-312.1
CP001157.1_1936840_1938984_+	CP001157.1_1936840_1938984_+	714.0	5.86	78744.85	-142.0
CP001157.1_4485077_4487217_+	CP001157.1_4485077_4487217_+	713.0	5.92	77907.76	188.0
CP001157.1_81671_83812_-	CP001157.1_81671_83812_-	713.0	5.61	80017.65	-224.0
CP001157.1_3530138_3532276_-	CP001157.1_3530138_3532276_-	712.0	5.18	76017.54	54.0
CP001157.1_1086961_1089096_-	CP001157.1_1086961_1089096_-	711.0	5.49	77539.98	-87.1
CP001157.1_1621336_1623468_+	CP001157.1_1621336_1623468_+	710.0	5.89	75830.44	94.1
CP001157.1_3190906_3193038_+	CP001157.1_3190906_3193038_+	710.0	5.23	78552.34	-302.6
