Sample	seq_name	length	PI	MW	Hydro
NZ_ASHR01000014.1_153668_155722_+	NZ_ASHR01000014.1_153668_155722_+	684.0	4.89	74333.13	66.4
NZ_ASHR01000014.1_304493_306496_-	NZ_ASHR01000014.1_304493_306496_-	667.0	5.11	74209.52	-249.3
NZ_ASHR01000014.1_60362_62305_-	NZ_ASHR01000014.1_60362_62305_-	647.0	5.11	70968.69	-161.3
NZ_ASHR01000014.1_124110_126053_-	NZ_ASHR01000014.1_124110_126053_-	647.0	4.94	68723.54	-52.6
NZ_ASHR01000014.1_110048_111943_-	NZ_ASHR01000014.1_110048_111943_-	631.0	5.02	65666.76	284.6
NZ_ASHR01000014.1_16522_18375_+	NZ_ASHR01000014.1_16522_18375_+	617.0	6.4	66596.91	157.0
NZ_ASHR01000014.1_114056_115857_-	NZ_ASHR01000014.1_114056_115857_-	600.0	4.8	64219.35	-64.2
NZ_ASHR01000014.1_127965_129752_-	NZ_ASHR01000014.1_127965_129752_-	595.0	5.66	65192.42	-186.3
NZ_ASHR01000014.1_278645_280432_+	NZ_ASHR01000014.1_278645_280432_+	595.0	4.94	63809.73	-3.5
NZ_ASHR01000014.1_103515_105284_-	NZ_ASHR01000014.1_103515_105284_-	589.0	5.17	61581.65	310.2
NZ_ASHR01000014.1_148555_150321_-	NZ_ASHR01000014.1_148555_150321_-	588.0	5.13	62352.46	-42.0
NZ_ASHR01000014.1_151942_153666_+	NZ_ASHR01000014.1_151942_153666_+	574.0	5.32	62672.26	228.6
NZ_ASHR01000014.1_219750_221474_+	NZ_ASHR01000014.1_219750_221474_+	574.0	7.85	60452.08	465.8
NZ_ASHR01000014.1_72567_74270_+	NZ_ASHR01000014.1_72567_74270_+	567.0	7.83	60997.65	-159.6
NZ_ASHR01000014.1_32063_33763_+	NZ_ASHR01000014.1_32063_33763_+	566.0	5.13	60592.52	-85.0
NZ_ASHR01000014.1_276918_278615_+	NZ_ASHR01000014.1_276918_278615_+	565.0	5.09	59273.56	38.9
NZ_ASHR01000014.1_274296_275972_+	NZ_ASHR01000014.1_274296_275972_+	558.0	5.94	59939.82	18.2
NZ_ASHR01000014.1_120814_122472_+	NZ_ASHR01000014.1_120814_122472_+	552.0	4.51	56442.01	124.8
NZ_ASHR01000014.1_6133_7779_-	NZ_ASHR01000014.1_6133_7779_-	548.0	6.15	59411.92	-83.3
NZ_ASHR01000014.1_266908_268545_+	NZ_ASHR01000014.1_266908_268545_+	545.0	5.58	59341.84	-200.2
NZ_ASHR01000014.1_2220_3836_+	NZ_ASHR01000014.1_2220_3836_+	538.0	3.81	58664.82	-162.4
NZ_ASHR01000014.1_164804_166405_-	NZ_ASHR01000014.1_164804_166405_-	533.0	5.58	57814.42	-99.6
NZ_ASHR01000014.1_286039_287631_+	NZ_ASHR01000014.1_286039_287631_+	530.0	4.93	55080.93	155.0
NZ_ASHR01000014.1_33826_35400_+	NZ_ASHR01000014.1_33826_35400_+	524.0	6.2	56622.28	115.1
NZ_ASHR01000014.1_70848_72419_+	NZ_ASHR01000014.1_70848_72419_+	523.0	3.83	55375.48	-4.7
NZ_ASHR01000014.1_122476_124044_-	NZ_ASHR01000014.1_122476_124044_-	522.0	10.5	55350.69	86.3
NZ_ASHR01000014.1_143958_145517_-	NZ_ASHR01000014.1_143958_145517_-	519.0	4.85	53846.11	56.6
NZ_ASHR01000014.1_135770_137329_+	NZ_ASHR01000014.1_135770_137329_+	519.0	4.88	55443.35	26.5
NZ_ASHR01000014.1_20246_21781_+	NZ_ASHR01000014.1_20246_21781_+	511.0	5.23	55593.86	-24.8
NZ_ASHR01000014.1_12846_14357_+	NZ_ASHR01000014.1_12846_14357_+	503.0	5.47	54167.81	13.4
NZ_ASHR01000014.1_261334_262842_+	NZ_ASHR01000014.1_261334_262842_+	502.0	5.36	54590.54	-83.7
NZ_ASHR01000014.1_282195_283691_+	NZ_ASHR01000014.1_282195_283691_+	498.0	9.71	51496.36	-7.1
NZ_ASHR01000014.1_296312_297802_+	NZ_ASHR01000014.1_296312_297802_+	496.0	4.84	55047.07	-126.4
NZ_ASHR01000014.1_52866_54344_+	NZ_ASHR01000014.1_52866_54344_+	492.0	6.45	54024.6	-135.0
NZ_ASHR01000014.1_98538_100010_+	NZ_ASHR01000014.1_98538_100010_+	490.0	4.9	52057.52	9.3
NZ_ASHR01000014.1_147066_148523_+	NZ_ASHR01000014.1_147066_148523_+	485.0	5.56	51686.59	-3.2
NZ_ASHR01000014.1_79224_80669_+	NZ_ASHR01000014.1_79224_80669_+	481.0	4.97	50215.03	85.1
NZ_ASHR01000014.1_210754_212199_+	NZ_ASHR01000014.1_210754_212199_+	481.0	5.13	52633.6	-76.0
NZ_ASHR01000014.1_288314_289759_+	NZ_ASHR01000014.1_288314_289759_+	481.0	6.07	48360.55	536.6
NZ_ASHR01000014.1_223027_224469_-	NZ_ASHR01000014.1_223027_224469_-	480.0	4.95	51217.63	-0.3
NZ_ASHR01000014.1_214096_215526_+	NZ_ASHR01000014.1_214096_215526_+	476.0	5.13	49747.92	-15.8
NZ_ASHR01000014.1_24259_25680_+	NZ_ASHR01000014.1_24259_25680_+	473.0	5.24	49617.36	4.4
NZ_ASHR01000014.1_233278_234687_+	NZ_ASHR01000014.1_233278_234687_+	469.0	5.24	48422.74	508.6
NZ_ASHR01000014.1_227494_228900_+	NZ_ASHR01000014.1_227494_228900_+	468.0	6.35	50269.88	296.7
NZ_ASHR01000014.1_205771_207159_+	NZ_ASHR01000014.1_205771_207159_+	462.0	4.76	48458.55	43.2
NZ_ASHR01000014.1_89059_90438_-	NZ_ASHR01000014.1_89059_90438_-	459.0	9.93	50464.68	-215.1
NZ_ASHR01000014.1_174379_175752_-	NZ_ASHR01000014.1_174379_175752_-	457.0	7.32	46528.48	66.1
NZ_ASHR01000014.1_35436_36801_-	NZ_ASHR01000014.1_35436_36801_-	455.0	7.22	50918.33	117.1
NZ_ASHR01000014.1_26953_28320_-	NZ_ASHR01000014.1_26953_28320_-	455.0	9.14	47833.7	290.1
NZ_ASHR01000014.1_112059_113414_-	NZ_ASHR01000014.1_112059_113414_-	451.0	9.22	48038.74	375.5
NZ_ASHR01000014.1_203604_204956_+	NZ_ASHR01000014.1_203604_204956_+	450.0	4.37	44938.19	89.1
NZ_ASHR01000014.1_81465_82814_+	NZ_ASHR01000014.1_81465_82814_+	449.0	5.08	48335.33	-72.9
NZ_ASHR01000014.1_208208_209546_+	NZ_ASHR01000014.1_208208_209546_+	446.0	5.07	48277.86	-94.9
NZ_ASHR01000014.1_246945_248285_+	NZ_ASHR01000014.1_246945_248285_+	446.0	6.06	48279.53	13.4
NZ_ASHR01000014.1_100155_101480_+	NZ_ASHR01000014.1_100155_101480_+	441.0	9.4	46967.63	333.7
NZ_ASHR01000014.1_170857_172173_+	NZ_ASHR01000014.1_170857_172173_+	438.0	4.65	46724.39	79.1
NZ_ASHR01000014.1_216529_217845_+	NZ_ASHR01000014.1_216529_217845_+	438.0	11.51	45383.01	192.5
NZ_ASHR01000014.1_167778_169091_+	NZ_ASHR01000014.1_167778_169091_+	437.0	4.9	45939.33	71.5
NZ_ASHR01000014.1_137446_138732_+	NZ_ASHR01000014.1_137446_138732_+	428.0	9.53	44832.63	303.2
NZ_ASHR01000014.1_199254_200534_+	NZ_ASHR01000014.1_199254_200534_+	426.0	10.38	46507.6	384.7
NZ_ASHR01000014.1_244565_245845_+	NZ_ASHR01000014.1_244565_245845_+	426.0	4.27	45091.21	-37.3
NZ_ASHR01000014.1_221684_222958_+	NZ_ASHR01000014.1_221684_222958_+	424.0	11.39	42627.33	387.1
NZ_ASHR01000014.1_49972_51246_+	NZ_ASHR01000014.1_49972_51246_+	424.0	5.28	44438.44	41.6
NZ_ASHR01000014.1_21785_23053_+	NZ_ASHR01000014.1_21785_23053_+	422.0	10.38	43879.92	370.4
NZ_ASHR01000014.1_158266_159528_+	NZ_ASHR01000014.1_158266_159528_+	420.0	5.09	45841.4	-119.0
NZ_ASHR01000014.1_243264_244514_+	NZ_ASHR01000014.1_243264_244514_+	416.0	5.05	44815.47	0.8
NZ_ASHR01000014.1_185389_186639_+	NZ_ASHR01000014.1_185389_186639_+	416.0	6.34	42864.06	318.5
NZ_ASHR01000014.1_260082_261329_+	NZ_ASHR01000014.1_260082_261329_+	415.0	8.55	43355.43	37.3
NZ_ASHR01000014.1_250261_251505_+	NZ_ASHR01000014.1_250261_251505_+	414.0	6.16	45352.65	-25.7
NZ_ASHR01000014.1_301690_302925_-	NZ_ASHR01000014.1_301690_302925_-	411.0	4.81	44251.26	121.5
NZ_ASHR01000014.1_18968_20194_+	NZ_ASHR01000014.1_18968_20194_+	408.0	6.03	41804.68	65.5
NZ_ASHR01000014.1_264410_265633_-	NZ_ASHR01000014.1_264410_265633_-	407.0	5.35	44386.68	-19.1
NZ_ASHR01000014.1_191805_193025_-	NZ_ASHR01000014.1_191805_193025_-	406.0	10.19	41222.74	399.9
NZ_ASHR01000014.1_29582_30799_+	NZ_ASHR01000014.1_29582_30799_+	405.0	5.5	42995.85	-36.6
NZ_ASHR01000014.1_252078_253292_-	NZ_ASHR01000014.1_252078_253292_-	404.0	8.76	44498.59	-86.2
NZ_ASHR01000014.1_197482_198690_+	NZ_ASHR01000014.1_197482_198690_+	402.0	5.47	44966.45	-201.2
NZ_ASHR01000014.1_290561_291760_-	NZ_ASHR01000014.1_290561_291760_-	399.0	4.57	41626.69	3.8
NZ_ASHR01000014.1_30820_32016_+	NZ_ASHR01000014.1_30820_32016_+	398.0	10.12	41067.09	412.5
NZ_ASHR01000014.1_138867_140057_+	NZ_ASHR01000014.1_138867_140057_+	396.0	9.56	41157.15	430.8
NZ_ASHR01000014.1_130801_131988_-	NZ_ASHR01000014.1_130801_131988_-	395.0	8.83	41943.99	4.5
NZ_ASHR01000014.1_180634_181800_-	NZ_ASHR01000014.1_180634_181800_-	388.0	5.7	41639.21	2.1
NZ_ASHR01000014.1_25682_26848_+	NZ_ASHR01000014.1_25682_26848_+	388.0	5.46	40733.84	14.4
NZ_ASHR01000014.1_140605_141771_+	NZ_ASHR01000014.1_140605_141771_+	388.0	4.76	40655.49	37.0
NZ_ASHR01000014.1_69070_70230_+	NZ_ASHR01000014.1_69070_70230_+	386.0	5.22	41566.3	-47.3
NZ_ASHR01000014.1_253363_254520_+	NZ_ASHR01000014.1_253363_254520_+	385.0	10.2	40708.58	390.9
NZ_ASHR01000014.1_249040_250197_+	NZ_ASHR01000014.1_249040_250197_+	385.0	6.33	40842.8	27.6
NZ_ASHR01000014.1_254591_255739_+	NZ_ASHR01000014.1_254591_255739_+	382.0	5.38	39963.83	83.5
NZ_ASHR01000014.1_160239_161378_-	NZ_ASHR01000014.1_160239_161378_-	379.0	9.22	40106.93	35.9
NZ_ASHR01000014.1_209587_210717_-	NZ_ASHR01000014.1_209587_210717_-	376.0	11.94	41822.66	206.6
NZ_ASHR01000014.1_195108_196236_-	NZ_ASHR01000014.1_195108_196236_-	376.0	5.24	40869.11	-19.2
NZ_ASHR01000014.1_218356_219483_+	NZ_ASHR01000014.1_218356_219483_+	375.0	5.8	39858.68	27.4
NZ_ASHR01000014.1_196343_197467_+	NZ_ASHR01000014.1_196343_197467_+	374.0	4.95	39609.09	-6.2
NZ_ASHR01000014.1_44765_45880_+	NZ_ASHR01000014.1_44765_45880_+	371.0	6.11	39715.05	-26.5
NZ_ASHR01000014.1_169094_170209_+	NZ_ASHR01000014.1_169094_170209_+	371.0	5.56	39304.57	1.7
NZ_ASHR01000014.1_132051_133163_+	NZ_ASHR01000014.1_132051_133163_+	370.0	5.28	39418.83	10.6
NZ_ASHR01000014.1_23087_24196_+	NZ_ASHR01000014.1_23087_24196_+	369.0	3.82	38662.17	-54.7
NZ_ASHR01000014.1_142351_143457_+	NZ_ASHR01000014.1_142351_143457_+	368.0	4.41	40141.69	-73.3
NZ_ASHR01000014.1_173146_174246_-	NZ_ASHR01000014.1_173146_174246_-	366.0	6.16	39128.7	-1.6
NZ_ASHR01000014.1_134550_135650_+	NZ_ASHR01000014.1_134550_135650_+	366.0	3.57	37520.24	44.9
NZ_ASHR01000014.1_133343_134416_+	NZ_ASHR01000014.1_133343_134416_+	357.0	3.72	36464.23	49.3
NZ_ASHR01000014.1_231576_232643_+	NZ_ASHR01000014.1_231576_232643_+	355.0	4.94	36412.33	64.6
NZ_ASHR01000014.1_97463_98527_+	NZ_ASHR01000014.1_97463_98527_+	354.0	5.3	38087.78	-54.4
NZ_ASHR01000014.1_292300_293361_+	NZ_ASHR01000014.1_292300_293361_+	353.0	4.98	37536.22	-8.4
NZ_ASHR01000014.1_229716_230771_+	NZ_ASHR01000014.1_229716_230771_+	351.0	4.88	37865.73	-38.4
NZ_ASHR01000014.1_62540_63592_+	NZ_ASHR01000014.1_62540_63592_+	350.0	8.29	36228.75	72.1
NZ_ASHR01000014.1_115944_116975_-	NZ_ASHR01000014.1_115944_116975_-	343.0	5.74	35431.96	-17.1
NZ_ASHR01000014.1_102476_103501_-	NZ_ASHR01000014.1_102476_103501_-	341.0	6.17	34952.69	55.3
NZ_ASHR01000014.1_293421_294446_+	NZ_ASHR01000014.1_293421_294446_+	341.0	4.84	36518.34	-14.9
NZ_ASHR01000014.1_280975_282000_+	NZ_ASHR01000014.1_280975_282000_+	341.0	4.89	37139.49	-107.7
NZ_ASHR01000014.1_51297_52319_+	NZ_ASHR01000014.1_51297_52319_+	340.0	4.85	35370.09	22.5
NZ_ASHR01000014.1_3945_4949_+	NZ_ASHR01000014.1_3945_4949_+	334.0	9.65	36359.98	242.5
NZ_ASHR01000014.1_283719_284717_+	NZ_ASHR01000014.1_283719_284717_+	332.0	5.05	35807.72	-7.9
NZ_ASHR01000014.1_207207_208205_+	NZ_ASHR01000014.1_207207_208205_+	332.0	5.09	36744.76	-128.2
NZ_ASHR01000014.1_117883_118878_-	NZ_ASHR01000014.1_117883_118878_-	331.0	5.28	35727.69	-27.9
NZ_ASHR01000014.1_11004_11993_+	NZ_ASHR01000014.1_11004_11993_+	329.0	5.16	35727.15	-52.6
NZ_ASHR01000014.1_215538_216515_+	NZ_ASHR01000014.1_215538_216515_+	325.0	6.41	35598.91	5.3
NZ_ASHR01000014.1_119793_120758_-	NZ_ASHR01000014.1_119793_120758_-	321.0	9.46	34267.83	265.5
NZ_ASHR01000014.1_161413_162375_-	NZ_ASHR01000014.1_161413_162375_-	320.0	10.31	35641.4	-176.6
NZ_ASHR01000014.1_36837_37790_-	NZ_ASHR01000014.1_36837_37790_-	317.0	9.24	33867.95	-4.9
NZ_ASHR01000014.1_224610_225563_+	NZ_ASHR01000014.1_224610_225563_+	317.0	4.7	34443.73	-20.8
NZ_ASHR01000014.1_157280_158230_+	NZ_ASHR01000014.1_157280_158230_+	316.0	5.17	33287.23	68.2
NZ_ASHR01000014.1_299804_300754_-	NZ_ASHR01000014.1_299804_300754_-	316.0	5.78	32740.2	12.0
NZ_ASHR01000014.1_172190_173137_-	NZ_ASHR01000014.1_172190_173137_-	315.0	7.54	33949.49	-52.1
NZ_ASHR01000014.1_7816_8760_-	NZ_ASHR01000014.1_7816_8760_-	314.0	5.33	33020.37	21.7
NZ_ASHR01000014.1_108360_109289_+	NZ_ASHR01000014.1_108360_109289_+	309.0	4.43	32316.23	-3.9
NZ_ASHR01000014.1_101503_102426_+	NZ_ASHR01000014.1_101503_102426_+	307.0	4.93	32941.39	3.1
NZ_ASHR01000014.1_105730_106644_+	NZ_ASHR01000014.1_105730_106644_+	304.0	5.18	33465.13	-52.9
NZ_ASHR01000014.1_181851_182765_-	NZ_ASHR01000014.1_181851_182765_-	304.0	9.36	33224.31	235.5
NZ_ASHR01000014.1_127003_127914_-	NZ_ASHR01000014.1_127003_127914_-	303.0	5.38	33770.95	-147.6
NZ_ASHR01000014.1_225586_226488_-	NZ_ASHR01000014.1_225586_226488_-	300.0	4.83	30643.69	23.8
NZ_ASHR01000014.1_55980_56882_-	NZ_ASHR01000014.1_55980_56882_-	300.0	6.72	31772.15	5.9
NZ_ASHR01000014.1_179705_180598_-	NZ_ASHR01000014.1_179705_180598_-	297.0	6.19	32349.76	-8.0
NZ_ASHR01000014.1_178822_179697_+	NZ_ASHR01000014.1_178822_179697_+	291.0	4.61	32305.81	-23.6
NZ_ASHR01000014.1_95207_96073_+	NZ_ASHR01000014.1_95207_96073_+	288.0	4.89	29606.4	42.8
NZ_ASHR01000014.1_86176_87042_-	NZ_ASHR01000014.1_86176_87042_-	288.0	8.21	32021.09	-93.5
NZ_ASHR01000014.1_265669_266532_-	NZ_ASHR01000014.1_265669_266532_-	287.0	4.75	29145.25	98.4
NZ_ASHR01000014.1_256790_257644_+	NZ_ASHR01000014.1_256790_257644_+	284.0	4.98	31676.47	-110.7
NZ_ASHR01000014.1_275981_276826_-	NZ_ASHR01000014.1_275981_276826_-	281.0	5.21	31108.24	-68.3
NZ_ASHR01000014.1_106653_107498_+	NZ_ASHR01000014.1_106653_107498_+	281.0	8.14	30427.06	230.3
NZ_ASHR01000014.1_84835_85680_+	NZ_ASHR01000014.1_84835_85680_+	281.0	10.67	29581.1	364.1
NZ_ASHR01000014.1_5048_5884_+	NZ_ASHR01000014.1_5048_5884_+	278.0	9.44	29161.78	224.4
NZ_ASHR01000014.1_190971_191804_-	NZ_ASHR01000014.1_190971_191804_-	277.0	7.98	31112.54	-58.8
NZ_ASHR01000014.1_297889_298719_+	NZ_ASHR01000014.1_297889_298719_+	276.0	5.26	29750.32	-56.9
NZ_ASHR01000014.1_145622_146452_-	NZ_ASHR01000014.1_145622_146452_-	276.0	5.47	29062.77	-5.9
NZ_ASHR01000014.1_118902_119732_-	NZ_ASHR01000014.1_118902_119732_-	276.0	6.36	30860.75	-115.4
NZ_ASHR01000014.1_303555_304385_-	NZ_ASHR01000014.1_303555_304385_-	276.0	8.67	28559.66	26.2
NZ_ASHR01000014.1_126085_126906_-	NZ_ASHR01000014.1_126085_126906_-	273.0	10.23	28331.12	205.5
NZ_ASHR01000014.1_150460_151269_+	NZ_ASHR01000014.1_150460_151269_+	269.0	10.5	29200.06	-99.5
NZ_ASHR01000014.1_96498_97295_+	NZ_ASHR01000014.1_96498_97295_+	265.0	4.75	28752.2	-17.7
NZ_ASHR01000014.1_226601_227392_+	NZ_ASHR01000014.1_226601_227392_+	263.0	4.88	27533.43	4.5
NZ_ASHR01000014.1_63628_64419_+	NZ_ASHR01000014.1_63628_64419_+	263.0	11.75	26250.78	178.1
NZ_ASHR01000014.1_107531_108319_+	NZ_ASHR01000014.1_107531_108319_+	262.0	9.49	28848.56	240.1
NZ_ASHR01000014.1_77694_78482_+	NZ_ASHR01000014.1_77694_78482_+	262.0	10.04	26660.54	208.9
NZ_ASHR01000014.1_46043_46828_-	NZ_ASHR01000014.1_46043_46828_-	261.0	4.94	26941.71	100.1
NZ_ASHR01000014.1_90688_91470_-	NZ_ASHR01000014.1_90688_91470_-	260.0	7.89	28435.23	-72.5
NZ_ASHR01000014.1_306518_307297_-	NZ_ASHR01000014.1_306518_307297_-	259.0	4.69	26125.52	85.1
NZ_ASHR01000014.1_194325_195083_+	NZ_ASHR01000014.1_194325_195083_+	252.0	5.55	27306.33	2.2
NZ_ASHR01000014.1_12077_12829_+	NZ_ASHR01000014.1_12077_12829_+	250.0	5.27	27887.96	-45.0
NZ_ASHR01000014.1_298831_299577_+	NZ_ASHR01000014.1_298831_299577_+	248.0	4.44	26038.29	10.3
NZ_ASHR01000014.1_228933_229676_+	NZ_ASHR01000014.1_228933_229676_+	247.0	4.83	25933.18	-20.3
NZ_ASHR01000014.1_9583_10326_-	NZ_ASHR01000014.1_9583_10326_-	247.0	8.29	26410.35	9.8
NZ_ASHR01000014.1_284740_285476_+	NZ_ASHR01000014.1_284740_285476_+	245.0	4.84	26298.72	134.3
NZ_ASHR01000014.1_166522_167247_+	NZ_ASHR01000014.1_166522_167247_+	241.0	5.94	25326.03	35.4
NZ_ASHR01000014.1_289814_290539_+	NZ_ASHR01000014.1_289814_290539_+	241.0	4.53	26090.2	-29.3
NZ_ASHR01000014.1_193148_193864_+	NZ_ASHR01000014.1_193148_193864_+	238.0	6.53	26068.53	-42.2
NZ_ASHR01000014.1_8862_9578_+	NZ_ASHR01000014.1_8862_9578_+	238.0	8.51	24264.35	181.1
NZ_ASHR01000014.1_155727_156440_-	NZ_ASHR01000014.1_155727_156440_-	237.0	5.28	25144.19	-30.2
NZ_ASHR01000014.1_294515_295222_+	NZ_ASHR01000014.1_294515_295222_+	235.0	4.74	24938.48	24.6
NZ_ASHR01000014.1_295572_296276_-	NZ_ASHR01000014.1_295572_296276_-	234.0	11.94	23333.52	206.2
NZ_ASHR01000014.1_241727_242431_+	NZ_ASHR01000014.1_241727_242431_+	234.0	4.44	22989.58	56.4
NZ_ASHR01000014.1_1056_1745_+	NZ_ASHR01000014.1_1056_1745_+	229.0	9.03	23877.24	-38.1
NZ_ASHR01000014.1_94512_95177_+	NZ_ASHR01000014.1_94512_95177_+	221.0	6.48	23832.33	4.6
NZ_ASHR01000014.1_307324_307986_-	NZ_ASHR01000014.1_307324_307986_-	220.0	4.86	23749.83	5.7
NZ_ASHR01000014.1_80714_81373_+	NZ_ASHR01000014.1_80714_81373_+	219.0	4.55	23122.04	8.2
NZ_ASHR01000014.1_242509_243168_-	NZ_ASHR01000014.1_242509_243168_-	219.0	7.56	24370.55	119.7
NZ_ASHR01000014.1_230897_231553_+	NZ_ASHR01000014.1_230897_231553_+	218.0	5.32	22734.67	38.6
NZ_ASHR01000014.1_240302_240940_+	NZ_ASHR01000014.1_240302_240940_+	212.0	4.93	22693.3	-81.6
NZ_ASHR01000014.1_156553_157185_-	NZ_ASHR01000014.1_156553_157185_-	210.0	4.7	22286.23	15.5
NZ_ASHR01000014.1_240948_241577_+	NZ_ASHR01000014.1_240948_241577_+	209.0	12.27	20790.35	123.1
NZ_ASHR01000014.1_234874_235500_+	NZ_ASHR01000014.1_234874_235500_+	208.0	4.41	21976.81	-6.0
NZ_ASHR01000014.1_54355_54975_+	NZ_ASHR01000014.1_54355_54975_+	206.0	9.6	21931.04	-40.8
NZ_ASHR01000014.1_54978_55586_+	NZ_ASHR01000014.1_54978_55586_+	202.0	5.36	22139.15	-17.2
NZ_ASHR01000014.1_151330_151938_+	NZ_ASHR01000014.1_151330_151938_+	202.0	4.7	21684.61	7.6
NZ_ASHR01000014.1_213262_213864_-	NZ_ASHR01000014.1_213262_213864_-	200.0	11.78	20822.43	134.0
NZ_ASHR01000014.1_49305_49904_+	NZ_ASHR01000014.1_49305_49904_+	199.0	5.23	21957.2	-10.8
NZ_ASHR01000014.1_248387_248983_+	NZ_ASHR01000014.1_248387_248983_+	198.0	5.42	21911.08	2.6
NZ_ASHR01000014.1_10343_10939_-	NZ_ASHR01000014.1_10343_10939_-	198.0	6.65	22518.34	-77.9
NZ_ASHR01000014.1_28865_29458_-	NZ_ASHR01000014.1_28865_29458_-	197.0	11.78	20609.64	184.5
NZ_ASHR01000014.1_259489_260079_+	NZ_ASHR01000014.1_259489_260079_+	196.0	3.96	19669.38	116.4
NZ_ASHR01000014.1_235522_236103_+	NZ_ASHR01000014.1_235522_236103_+	193.0	9.03	20650.66	-37.0
NZ_ASHR01000014.1_91546_92118_+	NZ_ASHR01000014.1_91546_92118_+	190.0	4.37	19665.64	-14.1
NZ_ASHR01000014.1_268626_269198_+	NZ_ASHR01000014.1_268626_269198_+	190.0	4.76	20070.95	62.2
NZ_ASHR01000014.1_109475_110044_+	NZ_ASHR01000014.1_109475_110044_+	189.0	4.77	18857.3	55.1
NZ_ASHR01000014.1_68481_69050_+	NZ_ASHR01000014.1_68481_69050_+	189.0	5.59	20589.37	-28.2
NZ_ASHR01000014.1_258534_259103_+	NZ_ASHR01000014.1_258534_259103_+	189.0	6.25	21204.17	-51.6
NZ_ASHR01000014.1_232664_233224_+	NZ_ASHR01000014.1_232664_233224_+	186.0	5.94	20166.16	-19.9
NZ_ASHR01000014.1_251525_252073_+	NZ_ASHR01000014.1_251525_252073_+	182.0	6.36	19379.92	-11.5
NZ_ASHR01000014.1_146495_147034_+	NZ_ASHR01000014.1_146495_147034_+	179.0	5.38	19316.8	-10.4
NZ_ASHR01000014.1_117311_117850_-	NZ_ASHR01000014.1_117311_117850_-	179.0	5.94	19723.26	-62.0
NZ_ASHR01000014.1_287650_288186_-	NZ_ASHR01000014.1_287650_288186_-	178.0	4.86	18861.3	14.0
NZ_ASHR01000014.1_170270_170800_+	NZ_ASHR01000014.1_170270_170800_+	176.0	5.44	18144.0	55.6
NZ_ASHR01000014.1_14548_15066_+	NZ_ASHR01000014.1_14548_15066_+	172.0	6.26	18150.75	21.4
NZ_ASHR01000014.1_15771_16277_-	NZ_ASHR01000014.1_15771_16277_-	168.0	4.91	17921.33	-7.6
NZ_ASHR01000014.1_212749_213240_-	NZ_ASHR01000014.1_212749_213240_-	163.0	4.81	18299.0	-23.4
NZ_ASHR01000014.1_255765_256253_-	NZ_ASHR01000014.1_255765_256253_-	162.0	4.51	17366.15	-72.2
NZ_ASHR01000014.1_263710_264189_-	NZ_ASHR01000014.1_263710_264189_-	159.0	5.38	17679.05	-50.0
NZ_ASHR01000014.1_246410_246886_+	NZ_ASHR01000014.1_246410_246886_+	158.0	5.73	15990.17	24.6
NZ_ASHR01000014.1_78536_79006_+	NZ_ASHR01000014.1_78536_79006_+	156.0	4.14	16531.73	48.4
NZ_ASHR01000014.1_1_465_+	NZ_ASHR01000014.1_1_465_+	154.0	4.97	16998.19	-44.4
NZ_ASHR01000014.1_167286_167747_+	NZ_ASHR01000014.1_167286_167747_+	153.0	11.83	16490.42	94.3
NZ_ASHR01000014.1_236246_236704_+	NZ_ASHR01000014.1_236246_236704_+	152.0	4.05	15465.44	26.6
