Sample	seq_name	length	PI	MW	Hydro
CP001157.1_473 # 485252 # 489619 # -1 # ID=1_473;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.684	CP001157.1_473	1455.0	7.59	160387.85	116.4
CP001157.1_2533 # 2821842 # 2826140 # -1 # ID=1_2533;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.710	CP001157.1_2533	1432.0	5.87	157006.51	-298.9
CP001157.1_3497 # 3834234 # 3838493 # 1 # ID=1_3497;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.677	CP001157.1_3497	1419.0	4.63	140113.73	2.0
CP001157.1_4739 # 5194329 # 5198540 # -1 # ID=1_4739;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.668	CP001157.1_4739	1403.0	3.99	147215.96	-549.7
CP001157.1_569 # 598022 # 602221 # 1 # ID=1_569;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632	CP001157.1_569	1399.0	6.66	154856.96	-321.8
CP001157.1_881 # 918662 # 922828 # 1 # ID=1_881;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.515	CP001157.1_881	1388.0	6.17	154376.73	44.7
CP001157.1_1499 # 1608506 # 1612630 # 1 # ID=1_1499;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.685	CP001157.1_1499	1374.0	7.99	154203.67	-489.2
CP001157.1_472 # 481139 # 485242 # -1 # ID=1_472;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.715	CP001157.1_472	1367.0	6.94	146840.55	-574.4
CP001157.1_568 # 593880 # 597956 # 1 # ID=1_568;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624	CP001157.1_568	1358.0	5.35	150932.26	-380.3
CP001157.1_1668 # 1786685 # 1790758 # 1 # ID=1_1668;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.698	CP001157.1_1668	1357.0	6.06	151374.41	-313.6
CP001157.1_3069 # 3402589 # 3406605 # 1 # ID=1_3069;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.665	CP001157.1_3069	1338.0	6.16	149542.49	-423.1
CP001157.1_1962 # 2112127 # 2116119 # -1 # ID=1_1962;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.731	CP001157.1_1962	1330.0	5.69	143783.19	-1.1
CP001157.1_3662 # 4012130 # 4016026 # -1 # ID=1_3662;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.677	CP001157.1_3662	1298.0	5.14	139987.47	-166.2
CP001157.1_878 # 913778 # 917650 # 1 # ID=1_878;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.541	CP001157.1_878	1290.0	6.63	145096.55	-136.3
CP001157.1_2695 # 3013613 # 3017449 # 1 # ID=1_2695;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.663	CP001157.1_2695	1278.0	5.03	139981.69	-267.8
CP001157.1_1155 # 1235100 # 1238933 # 1 # ID=1_1155;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.699	CP001157.1_1155	1277.0	8.87	139248.18	-301.0
CP001157.1_4698 # 5142608 # 5146426 # -1 # ID=1_4698;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.712	CP001157.1_4698	1272.0	6.3	141638.64	-288.8
CP001157.1_2552 # 2849112 # 2852885 # 1 # ID=1_2552;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.524	CP001157.1_2552	1257.0	6.27	142402.61	-552.4
CP001157.1_2658 # 2976043 # 2979741 # -1 # ID=1_2658;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.722	CP001157.1_2658	1232.0	6.01	132475.5	-262.1
CP001157.1_4782 # 5261178 # 5264858 # -1 # ID=1_4782;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.723	CP001157.1_4782	1226.0	6.19	136692.71	-330.5
CP001157.1_3607 # 3955800 # 3959474 # -1 # ID=1_3607;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.694	CP001157.1_3607	1224.0	5.69	140395.0	-827.2
CP001157.1_4796 # 5285069 # 5288707 # -1 # ID=1_4796;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.431	CP001157.1_4796	1212.0	5.54	137119.81	-377.2
CP001157.1_2466 # 2736912 # 2740529 # -1 # ID=1_2466;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.708	CP001157.1_2466	1205.0	8.8	134488.22	-307.8
CP001157.1_232 # 237818 # 241405 # 1 # ID=1_232;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.715	CP001157.1_232	1195.0	8.3	127887.51	506.6
CP001157.1_2330 # 2520652 # 2524227 # 1 # ID=1_2330;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.627	CP001157.1_2330	1191.0	5.22	131367.42	-159.4
CP001157.1_3584 # 3927954 # 3931484 # -1 # ID=1_3584;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.664	CP001157.1_3584	1176.0	5.22	130808.54	-224.6
CP001157.1_4783 # 5264855 # 5268361 # -1 # ID=1_4783;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.713	CP001157.1_4783	1168.0	5.4	131393.47	-381.6
CP001157.1_4742 # 5203615 # 5207121 # -1 # ID=1_4742;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.695	CP001157.1_4742	1168.0	4.11	119757.12	-303.4
CP001157.1_2795 # 3142365 # 3145853 # -1 # ID=1_2795;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.689	CP001157.1_2795	1162.0	5.19	131554.73	-741.0
CP001157.1_3239 # 3596920 # 3600405 # 1 # ID=1_3239;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.651	CP001157.1_3239	1161.0	8.7	128559.74	225.5
CP001157.1_1356 # 1461734 # 1465198 # -1 # ID=1_1356;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.671	CP001157.1_1356	1154.0	4.9	128961.12	-864.7
CP001157.1_1332 # 1435934 # 1439383 # -1 # ID=1_1332;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.679	CP001157.1_1332	1149.0	5.87	128625.89	-185.9
CP001157.1_1052 # 1105374 # 1108787 # 1 # ID=1_1052;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.718	CP001157.1_1052	1137.0	5.91	127603.2	-709.8
CP001157.1_403 # 406566 # 409922 # 1 # ID=1_403;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.696	CP001157.1_403	1118.0	5.8	126864.06	-409.7
CP001157.1_4163 # 4569450 # 4572803 # 1 # ID=1_4163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658	CP001157.1_4163	1117.0	5.89	123558.02	47.1
CP001157.1_2581 # 2883302 # 2886628 # -1 # ID=1_2581;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.680	CP001157.1_2581	1108.0	5.47	124915.81	-342.8
CP001157.1_2430 # 2690546 # 2693860 # 1 # ID=1_2430;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.650	CP001157.1_2430	1104.0	5.52	122413.41	-162.4
CP001157.1_4610 # 5046214 # 5049519 # -1 # ID=1_4610;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.580	CP001157.1_4610	1101.0	6.02	124568.35	-612.4
CP001157.1_3446 # 3786701 # 3789937 # -1 # ID=1_3446;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.671	CP001157.1_3446	1078.0	9.84	112780.82	43.3
CP001157.1_782 # 810958 # 814182 # 1 # ID=1_782;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.716	CP001157.1_782	1074.0	7.69	115314.9	250.8
CP001157.1_3962 # 4330755 # 4333976 # -1 # ID=1_3962;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.630	CP001157.1_3962	1073.0	5.23	117277.55	-114.7
CP001157.1_4066 # 4457584 # 4460793 # 1 # ID=1_4066;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.673	CP001157.1_4066	1069.0	5.5	115298.65	340.4
CP001157.1_3119 # 3462921 # 3466094 # 1 # ID=1_3119;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.670	CP001157.1_3119	1057.0	5.69	114578.5	325.1
CP001157.1_1276 # 1357215 # 1360379 # 1 # ID=1_1276;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.682	CP001157.1_1276	1054.0	6.38	115493.69	-26.9
CP001157.1_176 # 184046 # 187186 # 1 # ID=1_176;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.610	CP001157.1_176	1046.0	5.13	112909.11	299.1
CP001157.1_4767 # 5241928 # 5245068 # 1 # ID=1_4767;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.660	CP001157.1_4767	1046.0	5.84	113176.28	323.9
CP001157.1_1079 # 1137488 # 1140622 # 1 # ID=1_1079;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.626	CP001157.1_1079	1044.0	4.9	111531.32	-254.8
CP001157.1_1717 # 1836621 # 1839740 # 1 # ID=1_1717;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.682	CP001157.1_1717	1039.0	6.13	111748.54	379.8
CP001157.1_1311 # 1410918 # 1414031 # 1 # ID=1_1311;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.692	CP001157.1_1311	1037.0	5.19	111507.33	413.5
CP001157.1_2653 # 2965723 # 2968830 # -1 # ID=1_2653;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.677	CP001157.1_2653	1035.0	6.05	112457.14	317.7
CP001157.1_1312 # 1414028 # 1417129 # 1 # ID=1_1312;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.681	CP001157.1_1312	1033.0	7.01	111491.8	358.3
CP001157.1_2654 # 2968919 # 2972014 # -1 # ID=1_2654;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.676	CP001157.1_2654	1031.0	5.38	110699.99	480.0
CP001157.1_4686 # 5129310 # 5132402 # 1 # ID=1_4686;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698	CP001157.1_4686	1030.0	5.96	111369.41	-138.5
CP001157.1_1277 # 1360420 # 1363509 # -1 # ID=1_1277;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.679	CP001157.1_1277	1029.0	9.34	115293.22	-287.2
CP001157.1_3053 # 3386626 # 3389697 # -1 # ID=1_3053;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.683	CP001157.1_3053	1023.0	8.49	111673.96	-493.9
CP001157.1_355 # 361140 # 364196 # 1 # ID=1_355;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.679	CP001157.1_355	1018.0	6.68	112727.65	-338.8
CP001157.1_4738 # 5191069 # 5194065 # -1 # ID=1_4738;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.678	CP001157.1_4738	998.0	3.97	103182.72	-276.7
CP001157.1_3104 # 3445248 # 3448244 # -1 # ID=1_3104;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.673	CP001157.1_3104	998.0	3.91	103709.37	-268.3
CP001157.1_4818 # 5319082 # 5322060 # -1 # ID=1_4818;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.685	CP001157.1_4818	992.0	5.78	111824.33	-311.6
CP001157.1_4596 # 5030828 # 5033785 # -1 # ID=1_4596;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586	CP001157.1_4596	985.0	8.51	112012.3	-318.5
CP001157.1_602 # 620747 # 623695 # -1 # ID=1_602;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654	CP001157.1_602	982.0	7.4	108484.92	-273.6
CP001157.1_3946 # 4311906 # 4314851 # 1 # ID=1_3946;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.651	CP001157.1_3946	981.0	6.08	108186.33	-320.8
CP001157.1_3937 # 4298743 # 4301688 # 1 # ID=1_3937;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.670	CP001157.1_3937	981.0	6.06	108060.43	247.0
CP001157.1_4145 # 4544443 # 4547385 # -1 # ID=1_4145;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.701	CP001157.1_4145	980.0	6.19	109570.31	-227.8
CP001157.1_3341 # 3691703 # 3694624 # 1 # ID=1_3341;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.661	CP001157.1_3341	973.0	5.38	109424.73	-315.4
CP001157.1_4844 # 5355147 # 5358047 # -1 # ID=1_4844;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.582	CP001157.1_4844	966.0	5.4	109904.2	-445.0
CP001157.1_4368 # 4797407 # 4800280 # -1 # ID=1_4368;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.697	CP001157.1_4368	957.0	5.68	104320.84	-126.7
CP001157.1_305 # 303965 # 306838 # 1 # ID=1_305;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.675	CP001157.1_305	957.0	5.56	106780.7	-187.5
CP001157.1_1110 # 1173068 # 1175941 # 1 # ID=1_1110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.734	CP001157.1_1110	957.0	5.0	101669.16	47.1
CP001157.1_2602 # 2906459 # 2909329 # -1 # ID=1_2602;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.673	CP001157.1_2602	956.0	5.38	103651.43	-64.2
CP001157.1_2404 # 2657268 # 2660132 # 1 # ID=1_2404;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.708	CP001157.1_2404	954.0	6.08	102771.15	-49.7
CP001157.1_4799 # 5292043 # 5294907 # -1 # ID=1_4799;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.673	CP001157.1_4799	954.0	6.61	109676.51	-450.3
CP001157.1_2792 # 3135773 # 3138622 # 1 # ID=1_2792;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684	CP001157.1_2792	949.0	5.11	106347.41	-244.9
CP001157.1_3148 # 3494663 # 3497503 # -1 # ID=1_3148;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.659	CP001157.1_3148	946.0	4.48	99337.62	-285.7
CP001157.1_1058 # 1115343 # 1118177 # -1 # ID=1_1058;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.664	CP001157.1_1058	944.0	5.5	107206.99	-342.1
CP001157.1_1070 # 1129173 # 1132004 # 1 # ID=1_1070;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.659	CP001157.1_1070	943.0	5.91	105564.12	-230.2
CP001157.1_2743 # 3078251 # 3081082 # -1 # ID=1_2743;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.626	CP001157.1_2743	943.0	6.06	105873.9	-376.1
CP001157.1_3979 # 4350465 # 4353281 # 1 # ID=1_3979;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.679	CP001157.1_3979	938.0	7.15	102740.07	-106.6
CP001157.1_635 # 650050 # 652851 # -1 # ID=1_635;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.676	CP001157.1_635	933.0	5.78	103022.73	31.5
CP001157.1_1808 # 1945535 # 1948321 # 1 # ID=1_1808;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.674	CP001157.1_1808	928.0	6.68	98259.8	852.6
CP001157.1_4838 # 5346025 # 5348796 # -1 # ID=1_4838;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.583	CP001157.1_4838	923.0	5.6	103305.59	-265.9
CP001157.1_4323 # 4748380 # 4751139 # 1 # ID=1_4323;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.658	CP001157.1_4323	919.0	5.07	105113.48	-625.8
CP001157.1_3421 # 3767075 # 3769828 # 1 # ID=1_3421;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.672	CP001157.1_3421	917.0	5.55	100917.1	-141.5
CP001157.1_2299 # 2485627 # 2488380 # -1 # ID=1_2299;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.718	CP001157.1_2299	917.0	7.4	102274.53	-249.8
CP001157.1_1218 # 1297593 # 1300340 # 1 # ID=1_1218;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.629	CP001157.1_1218	915.0	5.6	103670.55	-414.6
CP001157.1_364 # 372746 # 375490 # -1 # ID=1_364;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.692	CP001157.1_364	914.0	5.56	101057.89	-338.5
CP001157.1_3215 # 3572566 # 3575310 # 1 # ID=1_3215;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.666	CP001157.1_3215	914.0	6.13	101599.63	58.7
CP001157.1_4148 # 4552672 # 4555410 # 1 # ID=1_4148;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.685	CP001157.1_4148	912.0	5.69	97795.72	250.2
CP001157.1_1549 # 1663231 # 1665966 # -1 # ID=1_1549;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.691	CP001157.1_1549	911.0	5.56	99100.68	112.4
CP001157.1_4816 # 5315143 # 5317875 # -1 # ID=1_4816;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.707	CP001157.1_4816	910.0	5.26	101191.07	-261.1
CP001157.1_1451 # 1552962 # 1555694 # 1 # ID=1_1451;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.666	CP001157.1_1451	910.0	5.05	100074.17	-223.6
CP001157.1_2496 # 2773450 # 2776176 # -1 # ID=1_2496;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.678	CP001157.1_2496	908.0	8.74	99868.66	-214.2
CP001157.1_60 # 65145 # 67871 # -1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.693	CP001157.1_60	908.0	5.56	98880.24	-84.7
CP001157.1_3428 # 3774511 # 3777234 # -1 # ID=1_3428;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.630	CP001157.1_3428	907.0	7.73	104839.22	-522.1
CP001157.1_2118 # 2290021 # 2292735 # -1 # ID=1_2118;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.701	CP001157.1_2118	904.0	6.19	97978.24	85.8
CP001157.1_2626 # 2935598 # 2938309 # 1 # ID=1_2626;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.686	CP001157.1_2626	903.0	5.84	98849.64	-227.4
CP001157.1_2155 # 2330796 # 2333501 # -1 # ID=1_2155;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.685	CP001157.1_2155	901.0	6.55	97671.41	-160.6
CP001157.1_1591 # 1699773 # 1702478 # 1 # ID=1_1591;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.699	CP001157.1_1591	901.0	5.87	98862.71	-155.9
CP001157.1_4567 # 4998563 # 5001268 # 1 # ID=1_4567;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.662	CP001157.1_4567	901.0	4.1	93359.88	-255.4
CP001157.1_3691 # 4048968 # 4051670 # -1 # ID=1_3691;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.717	CP001157.1_3691	900.0	6.35	99616.99	-65.1
CP001157.1_3601 # 3947389 # 3950088 # 1 # ID=1_3601;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.663	CP001157.1_3601	899.0	5.63	102579.89	-226.7
CP001157.1_1858 # 1991087 # 1993774 # -1 # ID=1_1858;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.652	CP001157.1_1858	895.0	5.32	97314.37	-119.1
CP001157.1_4566 # 4995682 # 4998351 # 1 # ID=1_4566;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.698	CP001157.1_4566	889.0	4.15	91339.12	-216.3
CP001157.1_2456 # 2724500 # 2727160 # -1 # ID=1_2456;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.718	CP001157.1_2456	886.0	5.73	97183.12	-122.7
CP001157.1_4146 # 4547613 # 4550270 # 1 # ID=1_4146;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.645	CP001157.1_4146	885.0	5.78	100159.46	-398.0
CP001157.1_1733 # 1854671 # 1857328 # 1 # ID=1_1733;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.669	CP001157.1_1733	885.0	5.18	99289.5	-231.1
CP001157.1_3628 # 3979606 # 3982242 # -1 # ID=1_3628;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.706	CP001157.1_3628	878.0	5.96	97413.62	-132.1
CP001157.1_1924 # 2063426 # 2066056 # -1 # ID=1_1924;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.627	CP001157.1_1924	876.0	5.51	93509.6	381.3
CP001157.1_1744 # 1869812 # 1872442 # -1 # ID=1_1744;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.707	CP001157.1_1744	876.0	8.78	94970.8	416.2
CP001157.1_4741 # 5200752 # 5203376 # -1 # ID=1_4741;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.691	CP001157.1_4741	874.0	4.21	90237.82	-235.3
CP001157.1_3171 # 3519549 # 3522173 # -1 # ID=1_3171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.655	CP001157.1_3171	874.0	5.68	94436.91	-172.5
CP001157.1_2266 # 2448146 # 2450770 # 1 # ID=1_2266;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.738	CP001157.1_2266	874.0	6.61	94317.23	-15.0
